week_start_date,vegetable,location,month,week_of_year,fuel_price,price,temp,rainfall
1/5/2024,beet root,ampara,1,1,358,900,26.29,31.24
1/5/2024,beet root,anuradhapura,1,1,358,770,25.54,7.39
1/5/2024,beet root,badulla,1,1,358,,22.29,17.19
1/5/2024,beet root,colombo,1,1,358,725,27.41,8.41
1/5/2024,beet root,dambulla,1,1,358,650,25.54,7.39
1/5/2024,beet root,galle,1,1,358,930,27.17,7.14
1/5/2024,beet root,gampaha,1,1,358,800,26.81,12.39
1/5/2024,beet root,jaffna,1,1,358,605,26.41,2.26
1/5/2024,beet root,kaluthara,1,1,358,740,27.17,7.14
1/5/2024,beet root,kandy,1,1,358,725,22.29,18.47
1/5/2024,beet root,meegoda,1,1,358,750,27.17,7.14
1/5/2024,beet root,monaragala,1,1,358,760,25.71,19.89
1/5/2024,beet root,nuwaraeliya,1,1,358,670,15.29,11.69
1/5/2024,beet root,ratnapura,1,1,358,,25.43,10.87
1/5/2024,brinjal,ampara,1,1,358,620,26.29,31.24
1/5/2024,brinjal,anuradhapura,1,1,358,560,25.54,7.39
1/5/2024,brinjal,badulla,1,1,358,,22.29,17.19
1/5/2024,brinjal,colombo,1,1,358,700,27.41,8.41
1/5/2024,brinjal,dambulla,1,1,358,650,25.54,7.39
1/5/2024,brinjal,galle,1,1,358,700,27.17,7.14
1/5/2024,brinjal,gampaha,1,1,358,650,26.81,12.39
1/5/2024,brinjal,jaffna,1,1,358,610,26.41,2.26
1/5/2024,brinjal,kaluthara,1,1,358,570,27.17,7.14
1/5/2024,brinjal,kandy,1,1,358,625,22.29,18.47
1/5/2024,brinjal,meegoda,1,1,358,530,27.17,7.14
1/5/2024,brinjal,monaragala,1,1,358,500,25.71,19.89
1/5/2024,brinjal,nuwaraeliya,1,1,358,570,15.29,11.69
1/5/2024,brinjal,ratnapura,1,1,358,,25.43,10.87
1/5/2024,cabbage,ampara,1,1,358,660,26.29,31.24
1/5/2024,cabbage,anuradhapura,1,1,358,570,25.54,7.39
1/5/2024,cabbage,badulla,1,1,358,,22.29,17.19
1/5/2024,cabbage,colombo,1,1,358,675,27.41,8.41
1/5/2024,cabbage,dambulla,1,1,358,680,25.54,7.39
1/5/2024,cabbage,galle,1,1,358,720,27.17,7.14
1/5/2024,cabbage,gampaha,1,1,358,580,26.81,12.39
1/5/2024,cabbage,jaffna,1,1,358,510,26.41,2.26
1/5/2024,cabbage,kaluthara,1,1,358,640,27.17,7.14
1/5/2024,cabbage,kandy,1,1,358,625,22.29,18.47
1/5/2024,cabbage,meegoda,1,1,358,580,27.17,7.14
1/5/2024,cabbage,monaragala,1,1,358,560,25.71,19.89
1/5/2024,cabbage,nuwaraeliya,1,1,358,530,15.29,11.69
1/5/2024,cabbage,ratnapura,1,1,358,,25.43,10.87
1/5/2024,carrot,ampara,1,1,358,1050,26.29,31.24
1/5/2024,carrot,anuradhapura,1,1,358,1030,25.54,7.39
1/5/2024,carrot,badulla,1,1,358,,22.29,17.19
1/5/2024,carrot,colombo,1,1,358,850,27.41,8.41
1/5/2024,carrot,dambulla,1,1,358,1300,25.54,7.39
1/5/2024,carrot,galle,1,1,358,950,27.17,7.14
1/5/2024,carrot,gampaha,1,1,358,1000,26.81,12.39
1/5/2024,carrot,jaffna,1,1,358,950,26.41,2.26
1/5/2024,carrot,kaluthara,1,1,358,990,27.17,7.14
1/5/2024,carrot,kandy,1,1,358,875,22.29,18.47
1/5/2024,carrot,meegoda,1,1,358,1100,27.17,7.14
1/5/2024,carrot,monaragala,1,1,358,950,25.71,19.89
1/5/2024,carrot,nuwaraeliya,1,1,358,910,15.29,11.69
1/5/2024,carrot,ratnapura,1,1,358,,25.43,10.87
1/5/2024,cucumber,ampara,1,1,358,250,26.29,31.24
1/5/2024,cucumber,anuradhapura,1,1,358,200,25.54,7.39
1/5/2024,cucumber,badulla,1,1,358,,22.29,17.19
1/5/2024,cucumber,colombo,1,1,358,230,27.41,8.41
1/5/2024,cucumber,dambulla,1,1,358,180,25.54,7.39
1/5/2024,cucumber,galle,1,1,358,170,27.17,7.14
1/5/2024,cucumber,gampaha,1,1,358,230,26.81,12.39
1/5/2024,cucumber,jaffna,1,1,358,160,26.41,2.26
1/5/2024,cucumber,kaluthara,1,1,358,230,27.17,7.14
1/5/2024,cucumber,kandy,1,1,358,150,22.29,18.47
1/5/2024,cucumber,meegoda,1,1,358,200,27.17,7.14
1/5/2024,cucumber,monaragala,1,1,358,220,25.71,19.89
1/5/2024,cucumber,nuwaraeliya,1,1,358,210,15.29,11.69
1/5/2024,cucumber,ratnapura,1,1,358,,25.43,10.87
1/5/2024,green beans,ampara,1,1,358,710,26.29,31.24
1/5/2024,green beans,anuradhapura,1,1,358,620,25.54,7.39
